"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OCRL",2838.80489792438,0.0314078881275416,0.0443823132419139,0.707666767082356,0.999999578760553,0.999999999984865
"APLN",411.713766573114,0.373789925112232,0.327617711152393,1.14093320473252,0.381225436725012,0.468094188595345
"XPNPEP2",738.228119732402,4.22981137042037,0.255136875270518,16.5785967470816,3.71279983547446e-55,6.14552359662777e-54
"SASH3",655.995120155766,-1.1045454799539,0.252693609204619,-4.37108593062791,0.000360175695487807,0.000667213291859561
"ZDHHC9",4113.5488447506,-0.622844699138268,0.103010834711152,-6.04639988487385,0.000147603110347436,0.000284455362961819
"UTP14A",1011.56932658279,-0.52251215764208,0.0669812818521535,-7.80086829026969,2.36601805028427e-05,4.88821955282176e-05
"BCORL1",1161.10935251377,0.306757495631181,0.0769302622127443,3.98747497808949,0.230324521611353,0.297111632133307
"ELF4",2154.85929030955,-0.14539552359648,0.0901723819426124,-1.6124174660154,0.876991588256719,0.952783202068789
"AIFM1",1563.5332856917,-0.177003847531303,0.106451169237121,-1.66277034625167,0.753586703930351,0.845055804784783
"RAB33A",61.8355914522454,0.00677765925694395,0.237263953017858,0.0285659037992755,0.986916944240947,0.999999999984865
"ZNF280C",300.096254920777,-1.4906550186402,0.0588788371117322,-25.3173311798166,7.28995854267988e-99,2.69499861107434e-97
"SLC25A14",445.464845045568,0.198935101383291,0.0695016366999679,2.86230815314573,0.768747856570776,0.858886406382976
"RBMX2",955.032645755148,0.0952078585490484,0.0536233667183224,1.77549199864986,0.998053193402736,0.999999999984865
"ENOX2",708.3764070979,-0.699777080398411,0.0681589572660543,-10.2668395830481,2.07049603556406e-11,6.55564396816909e-11
"IGSF1",71.4696909536565,-0.902783460773955,0.231218922877651,-3.90445318894449,0.00237745499693974,0.00405217630803706
"OR13H1",0.643697559174611,-8.1252569630562,3.05746942667032,-2.65751045363841,0.00807996062093753,0.0129264749982128
"FIRRE",23.1666468636387,-4.15864954333703,0.223803647733294,-18.5816879459127,1.33194309411928e-68,2.98772013289759e-67
"STK26",735.961897931608,-1.02840185715424,0.121333390754283,-8.4758354708548,7.02282287210756e-11,2.1544643826243e-10
"FRMD7",17.883836971754,0.969658558339592,0.51344814864736,1.88852284479764,0.0892788920295984,0.123653359596556
"RAP2C",2267.99585732598,0.568890486646239,0.0591389498000698,9.61955679919036,3.4795397287659e-08,8.93031362414276e-08
"RAP2C-AS1",139.484275165718,-0.271289106744655,0.126133992170962,-2.15080092269615,0.43300210248481,0.525075982326285
"MBNL3",1333.51383608869,-0.924363713590946,0.0931685709355697,-9.92141131187024,2.27501909726884e-13,8.07829739692852e-13
"HS6ST2",190.503381298094,-3.2782029618016,0.358307108170688,-9.149142975528,1.43893936052351e-17,6.38525579889352e-17
"HS6ST2-AS1",0.193407598963691,-6.01962220434664,2.07892633717394,-2.89554377021824,0.00403914949673304,0.00670610690248612
"USP26",0.319901425404883,-3.69030508921315,0.825675858200102,-4.46943561757719,1.63662397788352e-05,3.43071824663521e-05
"GPC4",1647.86893130309,-1.54924000037165,0.173749355749577,-8.9165222724886,3.7826507441061e-14,1.40524945360524e-13
"GPC3",4720.30369061279,1.0065603605913,0.295021784468774,3.41181707108085,0.00517764739977145,0.00846910335490251
"CCDC160",40.0159920998974,-0.581900237224574,0.327409356895179,-1.77728652211632,0.160888108793866,0.213725157669077
"PHF6",1258.27555806541,-0.829377294114606,0.0727049467317109,-11.4074396777306,8.00567644022713e-16,3.24013835707839e-15
"HPRT1",875.786897487573,-0.0564873726031783,0.0950841799987214,-0.59407750694109,0.979716752471733,0.999999999984865
"MIR503HG",70.8554874019254,1.34709450234211,0.305049675820437,4.41598404823435,0.00016137988977276,0.000309879763005879
"LINC00629",2.88867552280754,-1.08640818695848,0.383673504674662,-2.83159554600912,0.0148764730703928,0.0230170440068345
"PLAC1",4.38515958782415,-3.35217593202155,0.372779319202335,-8.9923870755343,4.33375641262055e-17,1.87448656901362e-16
"MOSPD1",759.478413315479,0.0287377634754646,0.119048050745016,0.241396337828468,0.978063867162315,0.999999999984865
"SMIM10",465.378359801529,2.3277234355746,0.179973561855487,12.9336965472945,3.93014932604894e-31,3.11534436678216e-30
"SMIM10L2B",181.470658870337,1.15838592514058,0.12303074326118,9.41541841035179,7.71453190273192e-14,2.81614255936644e-13
"CT55",0.921283872564252,-1.54135466554525,0.479989809090402,-3.21122373090831,0.0036634990290976,0.00611111150046781
"ZNF75D",1142.49000579701,-0.228945520251905,0.0626468558549421,-3.6545412715049,0.631595478973669,0.727682487991164
"ZNF449",694.980614309846,0.266698693950072,0.116597067107284,2.28735336631302,0.443064041368684,0.53565513661369
"SMIM10L2A",331.864708202799,-0.124362889899534,0.15901429037731,-0.78208624900595,0.79454467966457,0.882966122151463
"INTS6L-AS1",1.37654045848829,-0.884357788225809,0.325747767949491,-2.71485448324832,0.0259925721477042,0.0388807543334473
"INTS6L",1233.08480588826,0.0850792774243209,0.073978848105217,1.15004869098957,0.987105836960304,0.999999999984865
"CT45A1",0.233317577302323,-4.56743651368845,1.32228074887319,-3.45421085316466,0.000681636841916623,0.00123058820703341
"CT45A10",0.112512148172624,-2.56702631239792,2.02026962491075,-1.27063550367012,0.207314853036294,0.269957117171708
"SAGE1",1.17975869527969,-2.69611805924629,0.693349479014067,-3.88854126360653,0.000220108727598155,0.0004172882336847
"MMGT1",1757.24013074862,-0.22885731779181,0.0528079590812654,-4.33376562498137,0.655557709992996,0.750927644051356
"SLC9A6",1226.62710650237,-0.137837045162899,0.0504410844183915,-2.73263445368438,0.986913757172215,0.999999999984865
"FHL1",26596.4745531416,3.66114041737988,0.231505391316811,15.8144931163598,1.93226114735883e-49,2.73715497643221e-48
"MAP7D3",1376.84578189076,1.10277274339865,0.161919981692286,6.81060318728527,6.94751728870991e-08,1.75132236714688e-07
"ADGRG4",26.6291578193321,1.90119680883376,0.416354636568986,4.56629191042707,3.66877170084321e-05,7.45631026643932e-05
"HTATSF1",3096.7161365429,-0.193482412115152,0.0529486510637871,-3.65415186653319,0.857105218600354,0.936650983495507
"VGLL1",34.6413569410711,-1.67158934037859,0.446253149777392,-3.7458320265357,0.000730550865254805,0.00131497916368708
